Product Code,Old Product Code,Manufacturer,Product Description,Unit of Measure,Trade Price,Sell Price,Bar Code,Group Description,Sub Group-1 Description,Sub Group-2 Description
10124997,PIRFT2CE7067,PIR,PIRFT2CE7067: Cable Flat 2 Core & Earth 2.5mm,MT,0.00,2.46,,CABLE,PVC POWER CABLE,FLAT  TPS  POWER CABLE
10027563,AUS25MD,AUS,AUS25MD: Conduit PVC Solid 25mm x 4MT Grey,LN,0.00,8.83,9322537007934,PVC CONDUIT & FITTINGS,PVC RIGID CONDUIT,PVC RIGID CONDUIT LIGHT DUTY
10180768,OMEPB1,OME,OMEPB1: Socket Plug Base 10A 250V WH,EA,0.00,2.20,9323441036508,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PLUGS  BASES  ROSES & SOCKETS
10230256,CLIWSC227/2-RG,CLI,CLIWSC227/2-RG: P/Point W/P Surf 2g IP53 10A 250V RG,EA,0.00,29.04,9311554643683,BAKELITE,DOMESTIC & ALLIED PRODUCTS,W/PROOF COMBINATIONS SWITCHES
10081341,CLIC2025-WE,CLI,CLIC2025-WE: Powerpoint 2 Gang 10A 250V WH,EA,0.00,9.33,9311554318116,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10023756,AUS20MD,AUS,AUS20MD: Conduit PVC Solid 20mm x 4MT Grey,LN,0.00,7.18,9322537007897,PVC CONDUIT & FITTINGS,PVC RIGID CONDUIT,PVC RIGID CONDUIT LIGHT DUTY
10172299,AUSNBN20WH4500,AUS,AUSNBN20WH4500: Conduit PVC 20mm x 4.5MT White,LN,0.00,7.48,,PVC CONDUIT & FITTINGS,PVC RIGID CONDUIT,PVC RIGID TELECOMMUNICATIONS
10188694,OMEQCPB,OME,OMEQCPB: Socket Quick Connect 10A 250V WH,EA,0.00,3.51,9323441036256,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PLUGS  BASES  ROSES & SOCKETS
10124974,PIRFT2CE7050,PIR,PIRFT2CE7050: Cable Flat 2 Core & Earth 1.5mm,MT,0.00,1.58,9310835900446,CABLE,PVC POWER CABLE,FLAT  TPS  POWER CABLE
10197125,SYAS9065TCWH,SYA,SYAS9065TCWH: LED D/L 9W Wave IP44 TC Dimmable White,EA,0.00,10.66,9328623105478,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10031474,CLI3025-VW,CLI,CLI3025-VW: Powerpoint 2 Gang 10A 250V VW,EA,0.00,9.48,9311554785307,BAKELITE,ICONIC,COMBINATIONS
10306099,PIEMECOLED40CSLSG4,PIE,PIEMECOLED40CSLSG4: Middys Eco  LED Batten Gen 4 4Ft 4/5/6K,EA,0.00,61.17,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10190778,CLIRCBE216/30S,CLI,CLIRCBE216/30S: RCBO 1 Pole C Curve 30MA 4.5KA 16A,EA,0.00,29.51,9311554758929,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10041825,CLI449AB-VW,CLI,CLI449AB-VW: Mounting Block 34mm WH,EA,0.00,2.67,9311554794255,BAKELITE,DOMESTIC & ALLIED PRODUCTS,MOUNTING BLOCKS
10046773,CLI554C4-WE,CLI,CLI554C4-WE: Junction Box 45x86x58mm Clip-On WH,EA,0.00,4.23,9311554183745,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10086540,TRDCCM2510,TRD,TRDCCM2510: CONDUIT CORR 25MM MD GRY 10M PVC,CL,0.00,17.73,9323441038151,PVC CONDUIT & FITTINGS,PVC CORRUGATED CONDUIT-HD-LD,PVC LIGHT/MED DUTY CORR. COND.
10173628,NHPNL140L,NHP,NHPNL140L: Isolator SW 2P 40A 250VAC IP66 Grey,EA,0.00,20.78,9321807212351,INDUSTRIAL CONTROL,INDUSTRIAL SWITCHES,ISOLATOR MULTI PHASE SWITCH
10054842,CLI755PSMA4,CLI,CLI755PSMA4: Smoke Alarm P/E 240VAC 9V Surf Mnt WH,EA,0.00,47.82,9311554793623,SIGHT & SOUND PRODUCTS,SMOKE DETECTORS,SMOKE DETECTORS
10066828,HAGADC920T,HAG,HAGADC920T: RCBO 1M 1P+N 6KA C-20A 30MA A,EA,0.00,40.77,3250611033363,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10066827,HAGADC916T,HAG,HAGADC916T: RCBO 1M 1P+N 6KA C-16A 30MA A,EA,0.00,40.75,3250611033356,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10238824,AMPAPS25,AMP,AMPAPS25: Adaptor 25mm Plain To Screwed Box 50,EA,0.00,0.89,9323441038991,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10124996,OLXFT2CE7067,OLX,OLXFT2CE7067: Cable Flat 2 Core & Earth 2.5mm,MT,0.00,2.63,,CABLE,PVC POWER CABLE,FLAT  TPS  POWER CABLE
10066825,HAGADC910T,HAG,HAGADC910T: RCBO 1M 1P+N 6KA C-10A 30MA A,EA,0.00,40.76,3250611033332,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10027586,RIP25RB,RIP,RIP25RB: Tape PVC Elec 19mm x 20MT Rainbow (10PK),PK,0.00,13.16,9323441021375,TAPES  SEALANTS & LUBRICANTS,TAPES,TAPES
10239150,AMPC25,AMP,AMPC25: Coupling 25mm Grey Box 50,EA,0.00,0.49,9323441039141,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10187689,TDRPUPP2G,TDR,TDRPUPP2G: Powerpoint 2 Gang 10A 250V WH,EA,0.00,9.70,9349703004764,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10198626,OMESC1CL,OME,OMESC1CL: Cable Connectors Single Screw Insulated,JR,0.00,18.72,9323441003760,CABLE ACCESSORIES,CABLE CONNECTORS,CABLE CONNECTORS
10086537,TRDCCM2010,TRD,TRDCCM2010: CONDUIT CORR 20MM MD GRY 10M PVC,CL,0.00,14.14,9323441038120,PVC CONDUIT & FITTINGS,PVC CORRUGATED CONDUIT-HD-LD,PVC LIGHT/MED DUTY CORR. COND.
10190779,CLIRCBE220/30S,CLI,CLIRCBE220/30S: RCBO 1 Pole C Curve 30MA 4.5KA 20A,EA,0.00,29.51,9311554758943,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10190781,CLIRCBE232/30S,CLI,CLIRCBE232/30S: RCBO 1 Pole C Curve 30MA 4.5KA 32A,EA,0.00,29.51,9311554758998,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10190777,CLIRCBE210/30S,CLI,CLIRCBE210/30S: RCBO 1 Pole C Curve 30MA 4.5KA 10A,EA,0.00,29.51,9311554758905,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10175898,OMEOB121,OME,OMEOB121: Trademate Plaster Bracket (C-Clip),EA,0.00,0.49,9323441005689,BAKELITE,DOMESTIC & ALLIED PRODUCTS,WALL FLOOR BOX & BRACKETS
10066830,HAGADC932T,HAG,HAGADC932T: RCBO 1M 1P+N 6KA C-32A 30MA,EA,0.00,40.78,3250611033387,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10173625,NHPNL120L,NHP,NHPNL120L: Isolator SW 2P 20A 250VAC IP66 Grey,EA,0.00,16.67,9321807212337,INDUSTRIAL CONTROL,INDUSTRIAL SWITCHES,ISOLATOR MULTI PHASE SWITCH
10022057,CLI2025-WE,CLI,CLI2025-WE: Powerpoint 2 Gang 10A 250V WH,EA,0.00,9.33,9311554042387,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10176449,OMEOER1400,OME,OMEOER1400: Earth Rod 12.5mm Dia.X 1400mm C/W Clip from 1440 to 1400mm,EA,0.00,16.11,9323441040253,CABLE ACCESSORIES,EARTH RODS,EARTH RODS
10304161,TRDA5445-SNC,TRD,TRDA5445-SNC: Sealant Silicone  Neutral Cure 300Ml A5445,EA,0.00,10.14,,TAPES  SEALANTS & LUBRICANTS,ADHESIVES/SEALANTS,ADHESIVES/SEALANTS
10135445,TRDHS25,TRD,TRDHS25: Saddle Half Zinc 25mm,EA,0.00,0.25,9323441014117,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SADDLES  CONDUIT FIXING
10034060,AUS32HD,AUS,AUS32HD: Conduit PVC Solid 32mm x 4MT Orange,LN,0.00,13.89,9322537007958,PVC CONDUIT & FITTINGS,PVC RIGID CONDUIT,PVC RIGID CONDUIT HEAVY DUTY
